Security,,,,,,,,,,P,P,,P,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,P,P,,P,P,
"- compliance_operator",,,,,I,,,,U,U,U,,,,U,,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- local_firewall_operator",,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- global_firewall_operator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,I,,,I,
"Security Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- compliance_admin",,,,,I,,,,,COR,U,,,,,,I,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- local_firewall_admin",,,,,,,,,,,,,,,,,,,,,,,,COR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- global_firewall_admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COR,,,COR,,,COR,
"- audit_data_integrator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,
"Infrastructure Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- compute_operator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,,U,U,U,,,U,U,,U,U,,,,,,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- compute_operator_appgrp1",,appgrp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,U,U,,,,,,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- database_operator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,,,,,,,,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- storage_operator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,U,U,,,,,,,,,,,,U,,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- backup_operator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,U,U,,,,,,,,,,,,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- network_operator",,,,,,,,,,,,,,,,,,,,,,I,,I,I,I,I,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- local_connectivity_operator",,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,,,
"- external_connectivity_operator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,
"- public_connectivity_operator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,
"System Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- database_admin",,,,,,,,,,,,,U,,,U,,,,,,,,,,,,,,,,,COR,COR,,,,,,,,,,,,,,COR,COR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- database_exadata_admin",,,,,,,,,,,,,U,,,U,,,,,,,,,,,,,,,,,,,COR,,,,,,,,,,,,,,,COR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- compute_admin",,,,,,,,,,,,,U,,,U,,,,,,,,,,,,,,COR,COR,,,,,,U,U,U,,,COR,COR,,COR,COR,,,,,,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- storage_admin",,,,,,,,,,,,,U,,,U,,,,COR,,,,,,,,,,,,,,,,,COR,,COR,COR,,,,,,,,,,,,COR,,COR,COR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- backup_admin",,,,,,,,,,,,,U,,,U,,,,,,,,,,,,,,,,,,,,,,COR,,,,,,,,,,,,,,,COR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Network Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- network_admin",,,,,,,,,,,,,,,,,,,,,,COR,COR,,COR,COR,COR,COR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- local_connectivity_admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COR,,,,,,,,
"- external_connectivity_admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COR,,,,,
"- public_connectivity_admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COR,,
"Infrastructure Monitoring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- monitoring_operator",,,,,,,,,,,,,,,,,,,,I,,I,I,I,,I,I,I,,I,I,,I,I,I,,I,I,I,I,,I,I,,I,I,,I,I,I,,I,I,I,I,,I,I,I,,,I,,I,I,,I,I,,,,I,I,I,,I,,,I,,,I,,
"Monitoring Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- monitoring_admin",,,,,,,,,,,,,,,,,,,,I,,I,I,I,,I,I,I,,I,I,,I,I,I,,I,I,I,I,,I,I,,I,I,,I,I,I,,I,I,I,I,,COR,I,COR,,,COR,,I,I,,I,I,,,,I,I,I,,I,,,I,,,I,,
Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- application_design",,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,P,P,,P,P,P,,P,P,P,P,,P,P,,P,P,,P,P,P,,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- application_owner",,,,,,,,,,,,,,,,,,,,,,I,I,I,I,I,I,I,,I,I,,I,I,I,,I,I,I,I,,I,I,,I,I,,I,I,I,,I,I,I,I,,U,U,U,U,U,U,,,,,U,U,,,,,,,,,,,,,,,,
"- budget_owner",,,,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- breakglass",,,,M,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- remote_access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,,,,,,,,,,,,
"- audit",,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- everyone",,,,,,,,,,,U,,I,,I,I,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,I,,,,,,,,,,,,,,,,,,,,,,,,,,
"(new row? Always insert above this line)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,appgrp1,,PMI,POII,PICORU,PICORU,PIUCOR,PIUCORU,PPUCOR,PUUUU,,PICORPUUUUUI,,PUCORPUI,PICORPUUUUUI,PUCORUII,UCORUI,,UCORUICORII,,ICORIIPI,ICORIIPI,ICORIIIPI,ICORPI,ICORIIPI,ICORIIPI,ICORIIPI,,UCORIIPI,UCORIIPI,,UCORIIPI,UCORIIPI,CORIIPI,,UUUUCORIIPI,UUUCORIIPI,UUUUCORIIPI,UUCORIIPI,,UUCORIIPI,UUCORIIPI,,UUCORIIPI,UUCORIIPI,,UCORIIPI,UCORIIPI,CORIIPI,,UUUUUCORIIPI,UUUUCORIIPI,UUUUUCORIIPI,UUCORIIPI,,ICORUU,IIUI,ICORU,U,U,ICORU,,II,II,,IIUU,IIUU,,,,UII,II,II,,PICORII,PICORI,,PICORII,PICORI,,PICORII,PICORI,
,1,a,,P,P,P,P,P,P,P,P,,P,,P,P,P,U,,U,,I,I,I,I,I,I,I,,U,U,,U,U,C,,U,U,U,U,,U,U,,U,U,,U,U,C,,U,U,U,U,,I,I,I,U,U,I,,I,I,,I,I,,,,U,I,I,,P,P,,P,P,,P,P,
,2,p,,M,O,I,I,I,I,P,U,,I,,U,I,U,C,,C,,C,C,C,C,C,C,C,,C,C,,C,C,O,,U,U,U,U,,U,U,,U,U,,C,C,O,,U,U,U,U,,C,I,C,,,C,,I,I,,I,I,,,,I,I,I,,I,I,,I,I,,I,I,
,3,p,,I,I,C,C,U,U,U,U,,C,,C,C,C,O,,O,,O,O,O,O,O,O,O,,O,O,,O,O,R,,U,U,U,C,,C,C,,C,C,,O,O,R,,U,U,U,C,,O,U,O,,,O,,,,,U,U,,,,I,,,,C,C,,C,C,,C,C,
,4,g,,,I,O,O,C,C,C,U,,O,,O,O,O,R,,R,,R,R,R,R,R,R,R,,R,R,,R,R,I,,U,C,U,O,,O,O,,O,O,,R,R,I,,U,U,U,O,,R,I,R,,,R,,,,,U,U,,,,,,,,O,O,,O,O,,O,O,
,5,r,,,,R,R,O,O,O,U,,R,,R,R,R,U,,U,,I,I,I,P,I,I,I,,I,I,,I,I,I,,C,O,C,R,,R,R,,R,R,,I,I,I,,U,C,U,R,,U,,U,,,U,,,,,,,,,,,,,,R,R,,R,R,,R,R,
,6,p,,,,U,U,R,R,R,,,P,,P,P,U,I,,I,,I,I,I,I,I,I,I,,I,I,,I,I,P,,O,R,O,I,,I,I,,I,I,,I,I,P,,C,O,C,I,,U,,,,,,,,,,,,,,,,,,,I,I,,I,I,,I,I,
,7,1,,,,,,,U,,,,U,,U,U,I,,,C,,P,P,I,,P,P,P,,P,P,,P,P,I,,R,I,R,I,,I,I,,I,I,,P,P,I,,O,R,O,I,,,,,,,,,,,,,,,,,,,,,I,,,I,,,I,,
,8,,,,,,,,,,,,U,,I,U,I,,,O,,I,I,P,,I,I,I,,I,I,,I,I,,,I,I,I,P,,P,P,,P,P,,I,I,,,R,I,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,U,,,U,,,,R,,,,I,,,,,,,,,,,,,I,P,I,I,,I,I,,I,I,,,,,,I,I,I,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,U,,,U,,,,I,,,,,,,,,,,,,,,,,P,I,P,,,,,,,,,,,,,I,P,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,U,,,U,,,,I,,,,,,,,,,,,,,,,,I,,I,,,,,,,,,,,,,P,I,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,I,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
